snippet_id,file_path,language,primary_label,is_clean,pair_group,pair_role,source_type,notes,has_off_by_one,has_incorrect_conditional,has_array_length_index_misuse,has_missing_break,has_while_not_updated,line_count,char_count,parse_crashed,parse_completeness,has_error_nodes,error_node_count,missing_node_count,unstable_span_count,class_declaration_count,method_declaration_count,local_variable_declaration_count,return_statement_count,while_statement_count,assignment_expression_count,binary_expression_count,max_ast_depth,ast_node_count,for_statement_count,loop_condition_contains_lt,loop_condition_contains_leq,loop_condition_contains_gt,loop_condition_contains_geq,loop_condition_contains_length,loop_condition_off_by_one_pattern_count,loop_condition_leq_bare_length_count,for_node_with_array_access_count,max_for_loop_body_size,if_statement_count,assignment_inside_if_condition_count,equality_in_if_condition_count,boolean_literal_in_if_condition_count,logical_operator_in_if_condition_count,array_access_count,array_index_uses_length_directly_count,array_index_uses_length_expression_count,unique_arrays_accessed_count,switch_block_count,switch_case_group_count,switch_case_ends_with_terminator_count,switch_fallthrough_case_count,switch_empty_stacked_label_count,switch_default_label_count,switch_comment_count,max_switch_case_body_size,while_condition_with_method_call_count,while_condition_with_field_access_count,while_condition_true_literal_count,while_body_with_exit_count,while_body_method_call_count,while_condition_var_updated_count,while_condition_var_not_updated_count,max_while_body_size
gen_incorrect_cond_bug_158,data/ml/raw_snippets_generated/incorrect_conditional_operator/buggy/GenIncorrectConditionalBug158.java,java,INCORRECT_CONDITIONAL_OPERATOR,0,pair_418,buggy,synthetic_generated,uses assignment (=) instead of equality (==) in condition,0,1,0,0,0,8,190,0,1.0,0,0,0,0,1,1,0,2,0,1,0,9,49,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gen_incorrect_cond_fix_158,data/ml/raw_snippets_generated/incorrect_conditional_operator/fixed/GenIncorrectConditionalFix158.java,java,NO_ISSUE,1,pair_418,fixed,synthetic_generated,uses == for comparison correctly,0,0,0,0,0,8,191,0,1.0,0,0,0,0,1,1,0,2,0,0,1,9,49,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gen_missing_break_bug_113,data/ml/raw_snippets_generated/missing_break_in_switch/buggy/GenMissingBreakBug113.java,java,MISSING_BREAK_IN_SWITCH,0,pair_713,buggy,synthetic_generated,case falls through without break (unintentional),0,0,0,1,0,38,893,0,1.0,0,0,0,0,1,3,3,5,0,6,3,11,253,1,1,0,0,0,1,0,0,1,13,2,0,0,0,0,1,0,0,1,1,5,3,1,0,1,0,12,0,0,0,0,0,0,0,0
gen_missing_break_fix_113,data/ml/raw_snippets_generated/missing_break_in_switch/fixed/GenMissingBreakFix113.java,java,NO_ISSUE,1,pair_713,fixed,synthetic_generated,every case ends with break/return,0,0,0,0,0,39,916,0,1.0,0,0,0,0,1,3,3,5,0,6,3,11,256,1,1,0,0,0,1,0,0,1,13,2,0,0,0,0,1,0,0,1,1,5,4,0,0,1,0,12,0,0,0,0,0,0,0,0
gen_missing_break_bug_047,data/ml/raw_snippets_generated/missing_break_in_switch/buggy/GenMissingBreakBug047.java,java,MISSING_BREAK_IN_SWITCH,0,pair_647,buggy,synthetic_generated,case falls through without break (unintentional),0,0,0,1,0,47,1165,0,1.0,0,0,0,0,1,4,5,6,0,6,4,11,348,2,2,0,0,0,2,0,0,2,30,2,0,0,0,0,2,0,0,2,1,5,3,1,0,1,0,12,0,0,0,0,0,0,0,0
gen_missing_break_fix_047,data/ml/raw_snippets_generated/missing_break_in_switch/fixed/GenMissingBreakFix047.java,java,NO_ISSUE,1,pair_647,fixed,synthetic_generated,every case ends with break/return,0,0,0,0,0,48,1188,0,1.0,0,0,0,0,1,4,5,6,0,6,4,11,351,2,2,0,0,0,2,0,0,2,30,2,0,0,0,0,2,0,0,2,1,5,4,0,0,1,0,12,0,0,0,0,0,0,0,0
gen_clean_generic_062,data/ml/raw_snippets_generated/clean/GenCleanGeneric062.java,java,NO_ISSUE,1,,clean,synthetic_generated,clean snippet GenCleanGeneric062,0,0,0,0,0,36,787,0,1.0,0,0,0,0,1,5,1,3,0,3,4,11,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,1,0,12,0,0,0,0,0,0,0,0
gen_incorrect_cond_bug_135,data/ml/raw_snippets_generated/incorrect_conditional_operator/buggy/GenIncorrectConditionalBug135.java,java,INCORRECT_CONDITIONAL_OPERATOR,0,pair_395,buggy,synthetic_generated,uses assignment (=) instead of equality (==) in condition,0,1,0,0,0,8,200,0,1.0,0,0,0,0,1,1,0,2,0,1,0,8,47,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gen_incorrect_cond_fix_135,data/ml/raw_snippets_generated/incorrect_conditional_operator/fixed/GenIncorrectConditionalFix135.java,java,NO_ISSUE,1,pair_395,fixed,synthetic_generated,uses == for comparison correctly,0,0,0,0,0,8,201,0,1.0,0,0,0,0,1,1,0,2,0,0,1,8,47,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gen_array_index_bug_101,data/ml/raw_snippets_generated/array_length_index_misuse/buggy/GenArrayIndexBug101.java,java,ARRAY_LENGTH_INDEX_MISUSE,0,pair_531,buggy,synthetic_generated,accesses array[array.length] directly (out of bounds),0,0,1,0,0,45,1012,0,1.0,0,0,0,0,1,6,0,13,0,1,10,10,319,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gen_array_index_fix_101,data/ml/raw_snippets_generated/array_length_index_misuse/fixed/GenArrayIndexFix101.java,java,NO_ISSUE,1,pair_531,fixed,synthetic_generated,corrected with .length - 1 as last valid index,0,0,0,0,0,45,1016,0,1.0,0,0,0,0,1,6,0,13,0,1,11,10,322,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gen_array_index_bug_159,data/ml/raw_snippets_generated/array_length_index_misuse/buggy/GenArrayIndexBug159.java,java,ARRAY_LENGTH_INDEX_MISUSE,0,pair_589,buggy,synthetic_generated,accesses array[array.length] directly (out of bounds),0,0,1,0,0,55,1359,0,1.0,0,0,0,0,1,6,8,5,1,5,4,11,433,3,3,0,0,0,3,0,0,3,30,0,0,0,0,0,4,1,1,3,1,3,2,0,0,1,0,12,0,0,0,0,0,1,0,14
gen_array_index_fix_159,data/ml/raw_snippets_generated/array_length_index_misuse/fixed/GenArrayIndexFix159.java,java,NO_ISSUE,1,pair_589,fixed,synthetic_generated,corrected with .length - 1 as last valid index,0,0,0,0,0,55,1363,0,1.0,0,0,0,0,1,6,8,5,1,5,5,11,436,3,3,0,0,0,3,0,0,3,30,0,0,0,0,0,4,0,1,3,1,3,2,0,0,1,0,12,0,0,0,0,0,1,0,14
gen_clean_generic_050,data/ml/raw_snippets_generated/clean/GenCleanGeneric050.java,java,NO_ISSUE,1,,clean,synthetic_generated,clean snippet GenCleanGeneric050,0,0,0,0,0,10,239,0,1.0,0,0,0,0,1,1,0,3,0,0,2,9,72,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gen_clean_generic_048,data/ml/raw_snippets_generated/clean/GenCleanGeneric048.java,java,NO_ISSUE,1,,clean,synthetic_generated,clean snippet GenCleanGeneric048,0,0,0,0,0,16,364,0,1.0,0,0,0,0,1,1,1,1,0,3,0,11,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,1,0,12,0,0,0,0,0,0,0,0
gen_incorrect_cond_bug_007,data/ml/raw_snippets_generated/incorrect_conditional_operator/buggy/GenIncorrectConditionalBug007.java,java,INCORRECT_CONDITIONAL_OPERATOR,0,pair_267,buggy,synthetic_generated,uses assignment (=) instead of equality (==) in condition,0,1,0,0,0,17,412,0,1.0,0,0,0,0,1,2,0,5,0,1,2,9,110,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gen_incorrect_cond_fix_007,data/ml/raw_snippets_generated/incorrect_conditional_operator/fixed/GenIncorrectConditionalFix007.java,java,NO_ISSUE,1,pair_267,fixed,synthetic_generated,uses == for comparison correctly,0,0,0,0,0,17,413,0,1.0,0,0,0,0,1,2,0,5,0,0,3,9,110,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gen_missing_break_bug_003,data/ml/raw_snippets_generated/missing_break_in_switch/buggy/GenMissingBreakBug003.java,java,MISSING_BREAK_IN_SWITCH,0,pair_603,buggy,synthetic_generated,case falls through without break (unintentional),0,0,0,1,0,22,515,0,1.0,0,0,0,0,1,2,1,2,0,4,2,11,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,1,0,1,0,12,0,0,0,0,0,0,0,0
gen_missing_break_fix_003,data/ml/raw_snippets_generated/missing_break_in_switch/fixed/GenMissingBreakFix003.java,java,NO_ISSUE,1,pair_603,fixed,synthetic_generated,every case ends with break/return,0,0,0,0,0,23,538,0,1.0,0,0,0,0,1,2,1,2,0,4,2,11,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,0,0,1,0,12,0,0,0,0,0,0,0,0
gen_off_by_one_bug_080,data/ml/raw_snippets_generated/off_by_one/buggy/GenOffByOneBug080.java,java,OFF_BY_ONE_LOOP_BOUNDARY,0,pair_170,buggy,synthetic_generated,starts from .length instead of .length - 1,1,0,0,0,0,51,1107,0,1.0,0,0,0,0,1,6,5,11,1,3,9,10,362,2,2,1,0,0,2,1,1,2,13,5,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14
gen_off_by_one_fix_080,data/ml/raw_snippets_generated/off_by_one/fixed/GenOffByOneFix080.java,java,NO_ISSUE,1,pair_170,fixed,synthetic_generated,corrected with < length boundary,0,0,0,0,0,51,1106,0,1.0,0,0,0,0,1,6,5,11,1,3,9,10,362,2,2,0,0,0,2,0,0,2,13,5,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14
gen_incorrect_cond_bug_020,data/ml/raw_snippets_generated/incorrect_conditional_operator/buggy/GenIncorrectConditionalBug020.java,java,INCORRECT_CONDITIONAL_OPERATOR,0,pair_280,buggy,synthetic_generated,uses assignment (=) instead of equality (==) in condition,0,1,0,0,0,13,317,0,1.0,0,0,0,0,1,2,0,0,0,1,0,11,96,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gen_incorrect_cond_fix_020,data/ml/raw_snippets_generated/incorrect_conditional_operator/fixed/GenIncorrectConditionalFix020.java,java,NO_ISSUE,1,pair_280,fixed,synthetic_generated,uses == for comparison correctly,0,0,0,0,0,13,318,0,1.0,0,0,0,0,1,2,0,0,0,0,1,11,96,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gen_missing_break_bug_133,data/ml/raw_snippets_generated/missing_break_in_switch/buggy/GenMissingBreakBug133.java,java,MISSING_BREAK_IN_SWITCH,0,pair_733,buggy,synthetic_generated,case falls through without break (unintentional),0,0,0,1,0,52,1173,0,1.0,0,0,0,0,1,5,4,6,1,8,6,11,329,1,1,0,0,0,1,0,0,1,13,1,0,1,0,0,1,0,0,1,1,6,4,1,0,1,0,12,0,0,0,0,0,1,0,14
gen_missing_break_fix_133,data/ml/raw_snippets_generated/missing_break_in_switch/fixed/GenMissingBreakFix133.java,java,NO_ISSUE,1,pair_733,fixed,synthetic_generated,every case ends with break/return,0,0,0,0,0,53,1196,0,1.0,0,0,0,0,1,5,4,6,1,8,6,11,332,1,1,0,0,0,1,0,0,1,13,1,0,1,0,0,1,0,0,1,1,6,5,0,0,1,0,12,0,0,0,0,0,1,0,14
gen_missing_break_bug_139,data/ml/raw_snippets_generated/missing_break_in_switch/buggy/GenMissingBreakBug139.java,java,MISSING_BREAK_IN_SWITCH,0,pair_739,buggy,synthetic_generated,case falls through without break (unintentional),0,0,0,1,0,27,628,0,1.0,0,0,0,0,1,2,1,4,0,4,2,11,168,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,4,2,1,0,1,0,12,0,0,0,0,0,0,0,0
